Pollster 	Dates 	N/Pop 	Approve 	Disapprove 	Undecided
Rasmussen 	9/17-19/11 	1500 LV 	46 	52 	-
Rasmussen 	9/14-16/11 	1500 LV 	45 	55 	-
Gallup 	9/13-15/11 	1500 A 	39 	52 	-
CBS/Times 	9/10-15/11 	1452 A 	43 	50 	7
Marist/McClatchy 	9/13-14/11 	825 RV 	39 	52 	9
Rasmussen 	9/11-13/11 	1500 LV 	45 	54 	-
YouGov/Polimetrix 	9/10-13/11 	1000 A 	40 	53 	7
Gallup 	9/10-12/11 	1500 A 	43 	50 	-
Zogby (Internet) 	9/9-12/11 	2088 LV 	42 	58 	1
Bloomberg 	9/9-12/11 	997 A 	45 	49 	6
Ipsos/Reuters 	9/8-12/11 	1134 A 	47 	48 	4
CNN 	9/9-11/11 	1038 A 	43 	55 	2
DailyKos/SEIU/PPP (D) 	9/8-11/11 	1000 RV 	43 	53 	4
Rasmussen 	9/8-10/11 	1500 LV 	42 	55 	-
Gallup 	9/7-9/11 	1500 A 	43 	48 	-
Rasmussen 	9/5-7/11 	1500 LV 	43 	56 	-
Gallup 	9/3-6/11 	1500 A 	42 	50 	-
YouGov/Polimetrix 	9/3-6/11 	1000 A 	39 	53 	8
Rasmussen 	9/2-4/11 	1500 LV 	44 	55 	-
Gallup 	8/31-9/2/11 	1500 A 	42 	51 	-
Rasmussen 	8/30-9/1/11 	1500 LV 	44 	55 	-
ABC/Post 	8/29-9/1/11 	1001 A 	43 	53 	3
GWU/Politico (Lake/Tarrance) 	8/28-9/1/11 	1000 LV 	45 	50 	5
FOX 	8/29-31/11 	911 RV 	44 	47 	9
Resurgent Republic (R) 	8/28-31/11 	1000 RV 	47 	50 	3
NBC/WSJ 	8/27-31/11 	1000 A 	44 	51 	5
Gallup 	8/27-30/11 	1500 A 	39 	54 	-
YouGov/Polimetrix 	8/27-30/11 	1000 A 	38 	54 	7
Rasmussen 	8/27-29/11 	1500 LV 	43 	56 	-
Zogby (Internet) 	8/25-29/11 	2335 LV 	40 	60 	1
DailyKos/SEIU/PPP (D) 	8/25-28/11 	1000 RV 	42 	54 	4
Quinnipiac 	8/16-27/11 	2730 RV 	42 	52 	6
Rasmussen 	8/24-26/11 	1500 LV 	45 	54 	-
Gallup 	8/24-26/11 	1500 A 	41 	51 	-
CNN 	8/24-25/11 	1017 A 	45 	54 	1
Rasmussen 	8/21-23/11 	1500 LV 	44 	56 	-
Gallup 	8/21-23/11 	1500 A 	39 	53 	-
YouGov/Polimetrix 	8/20-23/11 	1000 A 	39 	52 	8
AP-GfK 	8/18-22/11 	1001 A 	46 	52 	2
DailyKos/SEIU/PPP (D) 	8/18-21/11 	1002 RV 	42 	53 	5
Pew 	8/17-21/11 	1509 A 	43 	49 	7
Rasmussen 	8/18-20/11 	1500 LV 	44 	55 	-
Gallup 	8/18-20/11 	1500 A 	40 	53 	-
ARG 	8/17-20/11 	1100 A 	41 	53 	6
Rasmussen 	8/15-17/11 	1500 LV 	43 	54 	-
Gallup 	8/15-17/11 	1500 A 	40 	52 	-
YouGov/Polimetrix 	8/13-16/11 	1000 A 	40 	54 	7
Rasmussen 	8/12-14/11 	1500 LV 	44 	54 	-
Gallup 	8/12-14/11 	1500 A 	41 	52 	-
DailyKos/SEIU/PPP (D) 	8/11-14/11 	1002 RV 	43 	53 	5
Gallup 	8/9-11/11 	1500 A 	41 	51 	-
Rasmussen 	8/9-11/11 	1500 LV 	43 	55 	-
Democracy Corps (D)/Women's Voices. Women Vote. 	8/6-10/11 	1000 LV 	45 	50 	5
Washington Post 	8/9/11 	1000 A 	44 	46 	10
FOX 	8/7-9/11 	904 RV 	42 	48 	9
YouGov/Polimetrix 	8/6-9/11 	1000 A 	41 	53 	6
Rasmussen 	8/6-8/11 	1500 LV 	45 	55 	-
Gallup 	8/6-8/11 	1500 A 	40 	50 	-
Ipsos/Reuters 	8/4-8/11 	1055 A 	45 	52 	3
CNN 	8/5-7/11 	930 A 	44 	54 	2
DailyKos/SEIU/PPP (D) 	8/4-7/11 	1002 RV 	47 	50 	3
Rasmussen 	8/3-5/11 	1500 LV 	47 	52 	-
Gallup 	8/3-5/11 	1500 A 	42 	50 	-
Rasmussen 	7/31-8/2/11 	1500 LV 	44 	54 	-
Gallup 	7/31-8/2/11 	1500 A 	42 	49 	-
YouGov/Polimetrix 	7/30-8/2/11 	1000 A 	42 	51 	7
CNN 	8/1/11 	860 A 	45 	52 	2
DailyKos/SEIU/PPP (D) 	7/28-31/11 	1002 RV 	46 	48 	6
Rasmussen 	7/28-30/11 	1500 LV 	44 	55 	-
Gallup 	7/28-30/11 	1500 A 	41 	52 	-
Rasmussen 	7/25-27/11 	1500 LV 	44 	55 	-
Gallup 	7/25-27/11 	1500 A 	43 	48 	-
YouGov/Polimetrix 	7/23-26/11 	1000 A 	42 	48 	10
Rasmussen 	7/22-24/11 	1500 LV 	44 	55 	-
Gallup 	7/22-24/11 	1500 A 	45 	48 	-
DailyKos/SEIU/PPP (D) 	7/21-24/11 	1002 RV 	47 	48 	5
Pew 	7/20-24/11 	1502 A 	44 	48 	8
Rasmussen 	7/19-21/11 	1500 LV 	45 	53 	-
Gallup 	7/19-21/11 	1500 A 	43 	49 	-
CNN 	7/18-20/11 	1009 A 	45 	54 	2
ARG 	7/17-20/11 	1100 A 	47 	48 	5
FOX 	7/17-19/11 	912 RV 	45 	46 	9
YouGov/Polimetrix 	7/16-19/11 	1000 A 	44 	50 	6
Rasmussen 	7/16-18/11 	1500 LV 	44 	54 	-
Gallup 	7/16-18/11 	1500 A 	44 	47 	-
PPP (D) 	7/15-17/11 	928 RV 	46 	48 	6
ABC/Post 	7/14-17/11 	1001 A 	47 	48 	5
DailyKos/SEIU/PPP (D) 	7/14-17/11 	1000 RV 	44 	52 	4
NBC/WSJ 	7/14-17/11 	1000 A 	47 	48 	5
Gallup 	7/13-15/11 	1500 A 	42 	50 	-
Rasmussen 	7/13-15/11 	1500 LV 	47 	52 	-
Rasmussen 	7/10-12/11 	1500 LV 	48 	51 	-
Gallup 	7/10-12/11 	1500 A 	46 	46 	-
YouGov/Polimetrix 	7/9-12/11 	1000 A 	40 	50 	10
Zogby (Internet) 	7/8-11/11 	2132 LV 	42 	58 	1
Ipsos/Reuters 	7/8-11/11 	1132 A 	49 	46 	4
Quinnipiac 	7/5-11/11 	2311 RV 	47 	46 	7
DailyKos/SEIU/PPP (D) 	7/7-10/11 	1002 RV 	47 	49 	4
Gallup 	7/7-9/11 	1500 A 	46 	45 	-
Rasmussen 	7/7-9/11 	1500 LV 	46 	53 	-
Gallup 	7/3-6/11 	1500 A 	46 	47 	-
Rasmussen 	7/2-6/11 	1500 LV 	48 	50 	-
YouGov/Polimetrix 	7/2-5/11 	1000 A 	43 	51 	5
Zogby (Internet) 	7/1-5/11 	2159 LV 	42 	58 	1
Gallup 	6/30-7/2/11 	1500 A 	45 	47 	-
Rasmussen 	6/29-7/1/11 	1500 LV 	49 	50 	-
Gallup 	6/27-29/11 	1500 A 	46 	46 	-
Rasmussen 	6/26-28/11 	1500 LV 	47 	52 	-
YouGov/Polimetrix 	6/25-28/11 	1000 A 	43 	49 	8
CBS/Times 	6/24-28/11 	979 A 	47 	44 	9
Gallup 	6/24-26/11 	1500 A 	43 	49 	-
DailyKos/SEIU/PPP (D) 	6/23-26/11 	1002 RV 	46 	50 	4
Rasmussen 	6/23-25/11 	1500 LV 	48 	51 	-
Gallup 	6/21-23/11 	1500 A 	45 	47 	-
Marist/McClatchy 	6/15-23/11 	801 RV 	45 	47 	8
Rasmussen 	6/20-22/11 	1500 LV 	46 	53 	-
YouGov/Polimetrix 	6/18-21/11 	1000 A 	44 	50 	6
Democracy Corps (D) 	6/18-21/11 	1000 LV 	46 	48 	6
Bloomberg 	6/27-20/11 	1000 A 	49 	44 	7
Gallup 	6/18-20/11 	1500 A 	45 	48 	-
ARG 	6/17-20/11 	1100 A 	42 	52 	6
AP-GfK 	6/16-20/11 	1001 A 	52 	47 	1
Rasmussen 	6/17-19/11 	1500 LV 	47 	51 	-
DailyKos/SEIU/PPP (D) 	6/16-19/11 	1002 RV 	48 	48 	5
Pew 	6/15-19/11 	1502 A 	46 	45 	8
Gallup 	6/15-17/11 	1500 A 	46 	46 	-
Rasmussen 	6/14-16/11 	1500 LV 	46 	54 	-
Gallup 	6/12-14/11 	1500 A 	47 	47 	-
YouGov/Polimetrix 	6/11-14/11 	1000 A 	45 	49 	8
Rasmussen 	6/11-13/11 	1500 LV 	46 	54 	-
NBC/WSJ 	6/9-13/11 	1000 A 	49 	46 	5
DailyKos/SEIU/PPP (D) 	6/9-12/11 	1002 RV 	49 	49 	2
Gallup 	6/9-11/11 	1500 A 	46 	44 	-
Rasmussen 	6/8-10/11 	1500 LV 	48 	51 	-
Zogby (Internet) 	6/7-9/11 	2061 LV 	43 	56 	1
Gallup 	6/6-8/11 	1500 A 	46 	44 	-
Rasmussen 	6/5-7/11 	1500 LV 	48 	51 	-
FOX 	6/5-7/11 	912 RV 	48 	43 	8
FOX 	6/5-7/11 	912 RV 	46 	46 	8
YouGov/Polimetrix 	6/4-7/11 	1000 A 	45 	48 	7
CNN 	6/3-7/11 	1015 A 	48 	48 	-
CBS 	6/3-7/11 	1024 A 	48 	43 	9
Ipsos/Reuters 	6/3-6/11 	1132 A 	50 	46 	4
Zogby (Internet) 	6/2-6/11 	2022 LV 	46 	53 	1
Quinnipiac 	5/31-6/6/11 	1946 RV 	47 	46 	7
Gallup 	6/3-5/11 	1500 A 	49 	43 	-
ABC/Post 	6/2-5/11 	1002 A 	47 	49 	4
DailyKos/SEIU/PPP (D) 	6/2-5/11 	1002 RV 	46 	48 	6
Rasmussen 	6/2-4/11 	1500 LV 	50 	50 	-
Gallup 	5/31-6/2/11 	1500 A 	51 	42 	-
Rasmussen 	5/30-6/1/11 	1500 LV 	49 	50 	-
YouGov/Polimetrix 	5/28-31/11 	1000 A 	45 	46 	8
Zogby (Internet) 	5/27-31/11 	2225 LV 	48 	52 	-
Pew 	5/25-30/11 	1509 A 	52 	39 	10
Rasmussen 	5/27-29/11 	1500 LV 	49 	49 	-
