 Pollster    	  Dates    	  N/Pop    	  Approve    	  Disapprove    	  Undecided
Zogby (Internet) 	9/17-20/10 	2068 LV 	49 	51 	1
Rasmussen 	9/17-19/10 	1500 LV 	44 	56 	-
Gallup 	9/17-19/10 	1500 A 	47 	46 	-
Rasmussen 	9/14-16/10 	1500 LV 	45 	54 	-
FOX 	9/14-16/10 	900 RV 	42 	52 	6
Gallup 	9/14-16/10 	1500 A 	45 	48 	-
YouGov/Polimetrix 	9/11-14/10 	1000 A 	40 	52 	8
Zogby (Internet) 	9/10-14/10 	1773 LV 	46 	54 	1
CBS/Times 	9/10-14/10 	1259 A 	45 	47 	8
Rasmussen 	9/11-13/10 	1500 LV 	47 	52 	-
Gallup 	9/11-13/10 	1500 A 	47 	46 	-
PPP (D) 	9/10-13/10 	590 RV 	47 	49 	3
AP-GfK 	9/8-13/10 	1000 A 	49 	50 	1
Rasmussen 	9/8-10/10 	1500 LV 	42 	57 	-
Gallup 	9/8-10/10 	1500 A 	44 	48 	-
GWU/Politico (Lake/Tarrance) 	9/7-9/10 	1000 LV 	45 	49 	7
Rasmussen 	9/5-7/10 	1500 LV 	45 	54 	-
Gallup 	9/5-7/10 	1500 A 	45 	47 	-
YouGov/Polimetrix 	9/4-7/10 	1000 A 	43 	49 	8
Quinnipiac 	8/31-9/7/10 	1907 RV 	44 	47 	9
Rasmussen 	9/2-4/10 	1500 LV 	42 	57 	-
Gallup 	9/2-4/10 	1500 A 	45 	48 	-
CNN 	9/1-2/10 	1024 A 	50 	49 	1
FOX 	9/1-2/10 	900 RV 	46 	48 	6
Democracy Corps (D) 	8/30-9/2/10 	1000 LV 	46 	50 	4
Rasmussen 	8/30-9/1/10 	1500 LV 	47 	52 	-
Gallup 	8/30-9/1/10 	1500 A 	46 	45 	-
YouGov/Polimetrix 	8/28-31/10 	1000 A 	42 	51 	7
Zogby (Internet) 	8/27-30/10 	2058 LV 	44 	56 	1
Allstate/National Journal 	8/27-30/10 	1201 A 	46 	49 	4
NBC/WSJ 	8/26-30/10 	1000 A 	45 	49 	6
Rasmussen 	8/27-29/10 	1500 LV 	46 	52 	-
Gallup 	8/27-29/10 	1500 A 	43 	49 	-
Newsweek 	8/25-26/10 	1029 A 	47 	45 	8
Rasmussen 	8/24-26/10 	1500 LV 	46 	54 	-
Gallup 	8/24-26/10 	1500 A 	44 	49 	-
YouGov/Polimetrix 	8/21-24/10 	1000 A 	42 	52 	6
CBS News 	8/20-24/10 	1082 A 	48 	44 	8
Rasmussen 	8/21-23/10 	1500 LV 	45 	54 	-
Gallup 	8/21-23/10 	1500 A 	45 	50 	-
Zogby (Internet) 	8/18-23/10 	8509 LV 	46 	53 	1
Ipsos/Reuters 	8/19-22/10 	1063 A 	45 	52 	3
Rasmussen 	8/18-20/10 	1500 LV 	45 	53 	-
Gallup 	8/18-20/10 	1500 A 	43 	50 	-
ARG 	8/17-20/10 	1100 A 	43 	51 	6
Time 	8/16-17/10 	1002 A 	46 	45 	9
Rasmussen 	8/15-17/10 	1500 LV 	45 	54 	-
Gallup 	8/15-17/10 	1500 A 	41 	52 	-
YouGov/Polimetrix 	8/14-17/10 	1000 A 	43 	52 	6
AP-GfK 	8/11-16/10 	1007 A 	49 	50 	1
Rasmussen 	8/12-14/10 	1500 LV 	45 	53 	-
Gallup 	8/12-14/10 	1500 A 	42 	49 	-
FOX 	8/10-11/10 	900 RV 	43 	49 	8
Rasmussen 	8/9-11/10 	1500 LV 	45 	54 	-
Gallup 	8/9-11/10 	1500 A 	46 	47 	-
Zogby (Internet) 	8/9-11/10 	2067 LV 	43 	56 	1
YouGov/Polimetrix 	8/7-10/10 	1000 A 	45 	48 	7
CNN 	8/6-10/10 	1009 A 	47 	51 	2
PPP (D) 	8/6-9/10 	606 RV 	47 	48 	5
NBC/WSJ 	8/5-9/10 	1000 A 	47 	48 	5
Rasmussen 	8/6-8/10 	1500 LV 	46 	52 	-
Gallup 	8/6-8/10 	1500 A 	45 	48 	-
Rasmussen 	8/3-5/10 	1500 LV 	47 	53 	-
Gallup 	8/3-5/10 	1500 A 	45 	49 	-
Pew 	7/21-8/5/10 	3003 A 	47 	41 	12
YouGov/Polimetrix 	7/31-8/3/10 	1000 A 	45 	48 	8
Rasmussen 	7/31-8/2/10 	1500 LV 	46 	53 	-
Gallup 	7/31-8/2/10 	1500 A 	45 	46 	-
USA Today/Gallup 	7/27-8/1/10 	1208 A 	41 	53 	6
Gallup 	7/28-30/10 	1500 A 	46 	47 	-
Rasmussen 	7/28-30/10 	1500 LV 	44 	56 	-
Zogby (Internet) 	7/27-29/10 	2389 LV 	43 	57 	1
Democracy Corps (D)/CAF 	7/26-29/10 	1000 LV 	45 	51 	4
FOX 	7/27-28/10 	900 RV 	43 	50 	7
Rasmussen 	7/25-27/10 	1500 LV 	46 	53 	-
Gallup 	7/25-27/10 	1500 A 	45 	49 	-
YouGov/Polimetrix 	7/24-27/10 	1000 A 	44 	50 	6
Ipsos/Reuters 	7/22-25/10 	1075 A 	48 	48 	3
Rasmussen 	7/22-24/10 	1500 LV 	43 	56 	-
Gallup 	7/22-24/10 	1500 A 	44 	47 	-
Rasmussen 	7/19-21/10 	1500 LV 	44 	55 	-
Gallup 	7/19-21/10 	1500 A 	46 	46 	-
CNN 	7/16-21/10 	1018 A 	47 	50 	2
ARG 	7/17-20/10 	1100 A 	42 	51 	7
YouGov/Polimetrix 	7/17-20/10 	1000 A 	45 	48 	8
Zogby (Internet) 	7/16-19/10 	8487 LV 	45 	54 	1
Quinnipiac 	7/13-19/10 	2181 RV 	44 	48 	8
Rasmussen 	7/16-18/10 	1500 LV 	47 	52 	-
Gallup 	7/16-18/10 	1500 A 	48 	44 	-
Rasmussen 	7/13-15/10 	1500 LV 	46 	54 	-
Gallup 	7/13-15/10 	1500 A 	44 	48 	-
FOX 	7/13-14/10 	900 RV 	43 	48 	9
Time 	7/12-13/10 	1002 A 	49 	45 	6
YouGov/Polimetrix 	7/10-13/10 	1000 A 	48 	45 	7
Rasmussen 	7/10-12/10 	1500 LV 	48 	52 	-
Gallup 	7/10-12/10 	1500 A 	48 	45 	-
CBS News 	7/9-12/10 	966 A 	44 	44 	12
PPP (D) 	7/9-12/10 	667 RV 	45 	52 	3
Bloomberg 	7/9-12/10 	1002 A 	52 	44 	4
ABC/Post 	7/7-11/10 	1288 A 	50 	47 	3
Rasmussen 	7/7-9/10 	1500 LV 	47 	52 	-
Gallup 	7/7-9/10 	1500 A 	46 	47 	-
Gallup 	7/3-6/10 	1500 A 	44 	46 	-
YouGov/Polimetrix 	7/3-6/10 	1000 A 	43 	52 	6
Rasmussen 	7/1-6/10 	1500 LV 	45 	54 	-
Gallup 	6/30-7/2/10 	1500 A 	47 	46 	-
FOX 	6/29-30/10 	900 RV 	47 	45 	9
Rasmussen 	6/28-30/10 	1500 LV 	44 	55 	-
Gallup 	6/27-29/10 	1500 A 	46 	45 	-
YouGov/Polimetrix 	6/26-29/10 	1000 A 	42 	49 	8
Zogby (Internet) 	6/25-28/10 	2061 LV 	46 	53 	1
Rasmussen 	6/25-27/10 	1500 LV 	49 	50 	-
Gallup 	6/24-26/10 	1500 A 	45 	46 	-
Newsweek 	6/23-24/10 	964 A 	48 	46 	6
Rasmussen 	6/22-24/10 	1500 LV 	45 	53 	-
