"FLO8"	"RAS2"	"TEC1"	"PHD1"	"ACE2"	"SWI5"	"SOK2"	"RME1"	"IME1"	"GPA2"	"MEP2"	"IME2"	"CLN2"	"ASH1"	"MUC1"
"Heat.Shock.05.minutes.hs.1"	-0.15	0.7	0.67	2.37	0.77	-0.1	-0.33	-0.3	-0.18	1.28	-0.71	0.120327380952381	-1.56	-1.12	-0.175153374233129
"Heat.Shock.10.minutes.hs.1"	-0.79	1.16	1.2	1.34	0.17	-0.79	-1.94	0.6	-0.6	0.94	0.20735	0.58	-3.47	-0.51	-0.175153374233129
"Heat.Shock.15.minutes.hs.1"	-0.32	1.31	1.32	0.164168604651163	0.02	-0.47	-1.38	1.54	-0.37	1.5	0.12	1.02	-0.482643274853801	-0.18	0.01
"Heat.Shock.20.minutes.hs.1"	-0.1	1.27	0.82	0.54	0.15	-0.14	-1.13	1.31	-0.41	1.6	-0.2	0.97	-2.25	-0.56	-0.175153374233129
"Heat.Shock.30.minutes.hs.1"	-0.4	1.11	1.2	0.06	-0.19	-0.56	-1.22	1.15	-0.49	1.28	0.31	0.77	-1.79	-0.81	-0.175153374233129
"Heat.Shock.40.minutes.hs.1"	-0.25	0.4	1.23	-0.03	-0.197941176470588	-0.45	-0.38	0.78	-0.69	0.9	0.77	-0.22	-0.32	-0.76	-0.175153374233129
"Heat.Shock.60.minutes.hs.1"	-0.22	0.03	0.53	-0.76	-0.2	-0.36	-0.63	0.1	0.21	0.9	0.42	0.15	-0.1	-1.06	-0.34
"Heat.Shock.80.minutes.hs.1"	-0.07	0.11	0.51	-0.38	-0.197941176470588	0.75	-0.58	-0.06	0.43	0.93	0.20735	0.120327380952381	-0.94	-0.94	-0.175153374233129
"Heat.Shock.000.minutes.hs.2"	-0.51	-0.18	-0.17	-0.97	0.58	-0.06	-0.28	0.08	0.29	-1.03	-0.3	-0.23	0.52	0.31	-0.17
"Heat.Shock.000.minutes..hs.2"	-0.22	-0.22	-0.3	-0.62	1.33	0.4	0.17	-0.07	0.15	-0.54	-0.34	-0.38	0.79	0.56	-1
"Heat.Shock.000.minutes..hs.2.1"	-0.2	-0.22	-0.86	-0.81	0.19	0.12	-0.03	-0.1	0	-0.76	-0.14	-0.6	0.67	0.41	-0.72
"Heat.Shock.005.minutes..hs.2"	0.23	-0.25	-0.27	1.24	0.27	-0.17	0.73	-0.38	1.3	0.59	-0.42	0.71	-0.5	-0.81	0.46
"Heat.Shock.015.minutes..hs.2"	-0.12	0.41	-0.25	0.52	0.14	0.3	-0.8	0.1	0.3	0.42	-0.18	0.61	-1.74	0.26	0.2
"Heat.Shock.030inutes..hs.2"	-0.45	0.03	-0.34	-0.92	-0.36	0.49	-0.6	0.46	0.1	0.31	0.4	0.44	-0.3	-0.12	-0.82
"Heat.Shock.060.minutes..hs.2"	-0.29	-0.6	-0.01	-0.89	0	-0.3	-0.07	-0.2	0.41	-0.14	0.96	-0.09	0.91	-0.17	-0.18
"X37C.to.25C.shock...15.min"	0.16	-0.42	-0.97	0.32	1.21	-0.1	1.51	-0.89	-0.62	-0.42	-2.64	0.28	0.04	-0.15	-0.175153374233129
"X37C.to.25C.shock...30.min"	0.15	-0.92	-0.97	-0.4	-0.94	-0.47	1.21	-1.25	-0.51	-0.1	-1.22	-0.23	-0.18	-0.64	-0.25
"X37C.to.25C.shock...45.min"	0.56	-0.94	-0.22	-0.47	0.42	0.19	0.77	-1.6	-0.3	-0.34	-3.64	0	0.33	0.14	0.2
"X37C.to.25C.shock...60.min"	-0.17	-0.79	-0.03	0	-1	-1	1.19	-0.51	-0.49	0.61	0.56	-1	0.12	-0.67	2.05
"X37C.to.25C.shock...90.min"	0.48	-0.07	-1.06	0.95	0.27	-0.14	0.5	-1.29	-0.56	-0.4	1.46	-0.84	0.46	-0.32	0.18
"heat.shock.17.to.37..20.minutes"	-0.18	1.21	1.3	-1.06	-0.15	-0.3	-1.45	1.74	0.5	0.65	0.16	0.96	-2.32	-0.01	0.13
"heat.shock.21.to.37..20.minutes"	-0.32	1.29	1.02	-1.22	-0.83	-0.22	-1.16	1.21	0.11	1.43	-0.18	0.92	-2	0.06	-0.04
"heat.shock.25.to.37..20.minutes"	0.91	1.2	1.14	0.09	-0.39	-0.07	-0.41	1.08	0.18	1.78	-0.09	0.99	-2.4	0.14	0.03
"heat.shock.29.to.37..20.minutes"	-0.03	1.53	0.81	0.77	-0.88	0.07	-0.5	0.84	-0.06	0.99	0.08	0.6	-1.84	0.03	0.05
"heat.shock.33.to.37..20.minutes"	-0.56	0.14	0.41	0.66	-0.05	0.28	-0.14	0.78	-0.49	0.93	-0.15	-0.19	0	0.25	-0.67
"X29C.to.33C...5.minutes"	0.06	0.86	0.7	2.1	0.24	0.42	1.22	0.38	-0.32	0.77	0.20735	-0.15	-0.56	-0.64	-4.06
