ID	Heat Shock 05 minutes hs-1	Heat Shock 10 minutes hs-1	Heat Shock 15 minutes hs-1	Heat Shock 20 minutes hs-1	Heat Shock 30 minutes hs-1	Heat Shock 40 minutes hs-1	Heat Shock 60 minutes hs-1	Heat Shock 80 minutes hs-1	Heat Shock 000 minutes hs-2	Heat Shock 000 minutes  hs-2	Heat Shock 000 minutes  hs-2	Heat Shock 005 minutes  hs-2	Heat Shock 015 minutes  hs-2	Heat Shock 030inutes  hs-2	Heat Shock 060 minutes  hs-2	37C to 25C shock - 15 min	37C to 25C shock - 30 min	37C to 25C shock - 45 min	37C to 25C shock - 60 min	37C to 25C shock - 90 min	heat shock 17 to 37, 20 minutes	heat shock 21 to 37, 20 minutes	heat shock 25 to 37, 20 minutes	heat shock 29 to 37, 20 minutes	heat shock 33 to 37, 20 minutes	29C to 33C - 5 minutes	29C to 33C - 15 minutes	29C to 33C - 30 minutes	33C vs. 30C - 90 minutes	29C +1M sorbitol to 33C + 1M sorbitol - 5 minutes	29C +1M sorbitol to 33C + 1M sorbitol - 15 minutes	29C +1M sorbitol to 33C + 1M sorbitol - 30 minutes	29C +1M sorbitol to 33C + *NO sorbitol - 5 minutes	29C +1M sorbitol to 33C + *NO sorbitol - 15 minutes	29C +1M sorbitol to 33C + *NO sorbitol - 30 minutes	constant 0.32 mM H2O2 (10 min) redo	constant 0.32 mM H2O2 (20 min) redo	constant 0.32 mM H2O2 (30 min) redo	constant 0.32 mM H2O2 (40 min) rescan	constant 0.32 mM H2O2 (50 min) redo	constant 0.32 mM H2O2 (60 min) redo	constant 0.32 mM H2O2 (80 min) redo	constant 0.32 mM H2O2 (100 min) redo	constant 0.32 mM H2O2 (120 min) redo	constant 0.32 mM H2O2 (160 min) redo	1 mM Menadione (10 min)redo	1 mM Menadione (20 min) redo	1 mM Menadione (30 min) redo	1mM Menadione (40 min) redo	1 mM Menadione (50 min)redo	1 mM Menadione (80 min) redo	1 mM Menadione (105 min) redo	1 mM Menadione (120 min)redo	1 mM Menadione (160 min) redo	2.5mM DTT 005 min dtt-1	2.5mM DTT 015 min dtt-1	2.5mM DTT 030 min dtt-1	2.5mM DTT 045 min dtt-1	2.5mM DTT 060 min dtt-1	2.5mM DTT 090 min dtt-1	2.5mM DTT 120 min dtt-1	2.5mM DTT 180 min dtt-1	dtt 000 min  dtt-2	dtt 015 min dtt-2	dtt 030 min  dtt-2	dtt 060 min dtt-2	dtt 120 min dtt-2	dtt 240 min dtt-2	dtt 480 min dtt-2	1.5 mM diamide (5 min)	1.5 mM diamide (10 min)	1.5 mM diamide (20 min)	1.5 mM diamide (30 min)	1.5 mM diamide (40 min)	1.5 mM diamide (50 min)	1.5 mM diamide (60 min)	1.5 mM diamide (90 min)	1M sorbitol - 5 min	1M sorbitol - 15 min	1M sorbitol - 30 min	1M sorbitol - 45 min 	1M sorbitol - 60 min	1M sorbitol - 90 min	1M sorbitol - 120 min	Hypo-osmotic shock - 5 min	Hypo-osmotic shock - 15 min	Hypo-osmotic shock - 30 min	Hypo-osmotic shock - 45 min	Hypo-osmotic shock - 60 min	steady-state 1M sorbitol	aa starv 0.5 h	aa starv 1 h	aa starv 2 h	aa starv 4 h	aa starv 6 h	Nitrogen Depletion 30 min.	Nitrogen Depletion 1 h	Nitrogen Depletion 2 h	Nitrogen Depletion 4 h	Nitrogen Depletion 8 h	Nitrogen Depletion 12 h	Nitrogen Depletion 1 d	Nitrogen Depletion 2 d	Nitrogen Depletion 3 d	Nitrogen Depletion 5 d	Diauxic Shift Timecourse - 0 h	diauxic shift timecourse 9.5 h	diauxic shift timecourse11.5 	diauxic shift timecourse 13.5 h	diauxic shift timecourse 15.5 h	diauxic shift timecourse 18.5 h	diauxic shift timecourse 20.5 h	YPD 2 h ypd-2	YPD 4 h ypd-2	YPD 6 h ypd-2	YPD 8 h ypd-2	YPD 10 h  ypd-2	YPD 12 h ypd-2	YPD 1 d ypd-2	YPD 2 d ypd-2	YPD 3 d ypd-2	YPD 5 d ypd-2	YPD stationary phase 2 h ypd-1	YPD stationary phase 4 h ypd-1	YPD stationary phase 8 h ypd-1	YPD stationary phase 12 h ypd-1	YPD stationary phase 1 d ypd-1	YPD stationary phase 2 d ypd-1	YPD stationary phase 3 d ypd-1	YPD stationary phase 5 d ypd-1	YPD stationary phase 7 d ypd-1	YPD stationary phase 13 d ypd-1	YPD stationary phase 22 d ypd-1	YPD stationary phase 28 d ypd-1	DBY7286 37degree heat - 20 min	DBYmsn2-4- 37degree heat - 20 min	DBYmsn2/4 (real strain) + 37degrees (20 min)	DBYyap1- 37degree heat - 20 min (redo)	DBYyap1 + 37degree heat (repeat)	DBY7286 + 0.3 mM H2O2 (20 min)	DBYmsn2msn4 (good strain) + 0.32 mM H2O2	DBYmsn2/4 (real strain) + 0.32 mM H2O2 (20 min)	DBYyap1- + 0.3 mM H2O2 (20 min)	DBYyap1 + 0.32 mM H2O2 (20 min)	Msn2 overexpression (repeat)	Msn4 overexpression	YAP1 overexpression	ethanol vs. reference pool car-1	galactose vs. reference pool car-1	glucose vs. reference pool car-1	mannose vs. reference pool  car-1	raffinose vs. reference pool car-1	sucrose vs. reference pool car-1	YP ethanol vs reference pool car-2	YP fructose vs reference pool car-2	YP galactose vs reference pool car-2	YP glucose vs reference pool car-2	YP mannose vs reference pool car-2	YP raffinose vs reference pool car-2	YP sucrose vs reference pool car-2	17 deg growth ct-1	21 deg growth ct-1	25 deg growth ct-1	29 deg growth ct-1	37 deg growth ct-1	steady state 15 dec C ct-2	steady state 17 dec C ct-2	steady state 21 dec C ct-2	steady state 25 dec C ct-2	steady state 29 dec C ct-2	steady state 33 dec C ct-2	steady state 36 dec C ct-2	steady state 36 dec C ct-2 (repeat hyb)
FLO8	-0.15	-0.79	-0.32	-0.1	-0.4	-0.25	-0.22	-0.07	-0.51	-0.22	-0.2	0.23	-0.12	-0.45	-0.29	0.16	0.15	0.56	-0.17	0.48	-0.18	-0.32	0.91	-0.03	-0.56	0.06	-0.01	0.26	-0.15	-0.04	0.14	-0.01	0.29	-0.27	0.38	-0.45	-0.38	-0.42	-0.89	-0.47	-0.25	-0.25	-0.3	-0.3	-0.29	-0.38	-0.76	-0.56	-0.54	-0.6	-0.67	-0.49	-0.54	-0.45	NA	0.2	-0.17	0.26	0.34	-0.06	0.2	0.1	-0.62	-0.06	-0.56	-0.45	-0.2	-0.38	-0.23	-0.3	-0.34	-0.32	-0.34	-0.18	-0.36	-0.32	-0.18	0.19	0	0	-0.09	0.01	-0.25	-0.18	0.12	0.08	0.03	0.1	0.18	0.62	0.16	0.52	0.32	0.11	0.33	0.48	0.21	0.16	0.04	0.24	0.15	0.21	0.06	0.24	0.28	-0.29	-0.45	-0.25	NA	-0.47	-0.07	-0.23	0.31	-0.09	-0.09	0.24	0.15	-0.09	0.06	0.42	0.76	0.03	0.23	0.04	0.03	-0.47	-0.36	-0.17	-0.1	-0.32	-0.34	-0.6	-0.56	-0.58	0.41	0.43	0	0.36	0.2	-0.12	-0.47	-0.76	0.07	0.03	-0.108	0.042	-0.38	0.53	-0.51	-0.2	-0.23	0.03	-0.23	0.25	-0.49	-0.62	0.26	-0.04	0.18	-0.64	-0.42	-0.22	-0.22	-0.17	-0.15	-0.06	-0.54	-0.14	-0.47	-0.29	0.18	-0.12	-0.23
RAS2	0.7	1.16	1.31	1.27	1.11	0.4	0.03	0.11	-0.18	-0.22	-0.22	-0.25	0.41	0.03	-0.6	-0.42	-0.92	-0.94	-0.79	-0.07	1.21	1.29	1.2	1.53	0.14	0.86	0.93	0	-0.27	0.89	0.95	-0.04	0.37	0.54	-0.12	0.06	-0.17	0.33	NA	-0.15	-0.49	-0.1	-0.22	0.01	0.2	-0.54	-0.1	-0.25	-0.4	-0.43	-0.71	-0.4	-0.51	-0.34	-0.84	-0.64	-0.51	-0.2	0.07	-0.09	0.16	0.32	-0.32	-0.23	-0.36	0.26	0.65	0.03	-0.74	0.33	0.96	0.82	1.08	0.8	0.39	0.08	-0.09	0.31	0.06	0.28	0.1	-0.29	-0.62	-0.14	0.11	-0.56	-0.84	-0.62	-0.4	-0.3	0.26	0.26	-0.43	0.45	0.21	-0.09	0.75	0.3	-0.14	-0.43	-0.67	-1.22	-1.29	-1.32	-1.18	0.24	0.16	0.2	0.07	0.42	1.16	-0.4	0.23	0.32	1.21	-0.38	-0.58	0	-0.71	-2.12	-0.47	-0.32	-0.79	-1.03	-0.92	-0.36	-0.67	-0.54	-0.67	-0.27	-0.64	NA	-0.22	-0.64	-0.17	-0.23	-0.23	0.21	-0.01	0.42	-0.25	-0.32	0.15	-0.4	-0.111	-0.096	-0.15	-0.74	-0.25	0.08	-0.36	-0.4	-0.34	-0.69	-0.25	0.58	-0.12	-0.45	0.15	-0.38	-0.07	0.23	0.38	0.04	-0.22	-0.18	0.51	0.2	-0.09	-0.12	-0.07	0.07	NA
TEC1	0.67	1.2	1.32	0.82	1.2	1.23	0.53	0.51	-0.17	-0.3	-0.86	-0.27	-0.25	-0.34	-0.01	-0.97	-0.97	-0.22	-0.03	-1.06	1.3	1.02	1.14	0.81	0.41	0.7	0.5	0.14	-0.15	0.61	0.88	0.66	0.57	0.38	0.7	4.25	-0.69	-0.3	-0.49	-0.17	-0.76	NA	NA	-0.18	NA	NA	0.28	0	0.03	0.07	0.1	0.08	-0.09	-0.04	NA	-0.27	NA	-0.07	0.06	0.23	-0.15	-0.43	NA	NA	NA	NA	NA	NA	NA	0.32	0.58	1.12	0.86	1.07	0.72	-0.42	0.39	-0.24	-0.8	-0.94	-0.77	-0.56	-0.04	-0.05	0.63	-0.3	0.07	0.19	-0.06	-0.09	0.07	0.58	0.54	0.16	-0.86	1.06	1.22	0.88	0.44	-0.01	-0.97	-1.56	-1.29	-1.47	-1.22	-0.17	-0.06	0.36	-0.38	-0.17	0.69	0.78	0.06	0.39	1.31	0.68	-0.22	-0.1	-0.29	0.58	0.99	-0.17	0.2	0.21	0.32	1.63	-0.2	-0.38	0	-0.29	-1.09	-1.43	-1.04	-1.05	0.28	0.12	1	0.15	0.25	-0.17	-0.09	-0.1	-0.43	-0.81	-0.32	-0.4	-0.25	NA	0.19	-0.18	NA	NA	NA	-0.84	-0.08	-0.11	-0.58	0.48	0	0.4	-0.56	-0.49	-0.56	0.03	-0.29	-0.51	NA	0.3	0.03	0.26	0.58	NA	NA
PHD1	2.37	1.34	NA	0.54	0.06	-0.03	-0.76	-0.38	-0.97	-0.62	-0.81	1.24	0.52	-0.92	-0.89	0.32	-0.4	-0.47	0	0.95	-1.06	-1.22	0.09	0.77	0.66	2.1	-0.22	-0.97	-0.04	2.32	-0.51	-0.92	2.45	1.12	0.34	0.31	-0.47	-1.43	-2.64	-1.51	-1	-0.86	-0.56	-0.92	-0.62	0.06	0.41	0.18	-0.03	0.2	0.01	-0.58	-0.43	-0.47	0.37	1.41	1.4	0.7	0.43	-0.01	0.51	0.01	-0.34	0.54	0.42	-0.29	-0.62	0.74	0.14	1.53	0.52	-0.71	-1.12	-1.25	-1.4	-1.47	-0.84	0	-0.07	-0.81	-1.12	-0.49	-0.04	-0.29	2.81	0.32	-0.4	-0.29	0.01	-0.38	0.93	0.25	0.64	1.65	1.29	1.16	0.56	0.1	0.55	2	2.18	1.64	1.61	1.61	1.27	-0.12	-0.27	-0.64	-0.47	-0.45	0.72	0.74	0.08	0.45	1.16	-0.03	0.58	0.58	0.37	1.58	1.51	0.7	0.39	0.96	0	0.76	0.65	0.79	0.12	0.25	0.58	-0.92	-0.43	-0.67	-0.07	0.99	-0.06	-0.06	-1.09	-0.66	-0.01	-0.2	0.51	-0.3	-0.021	0.388	0.25	1.37	-0.54	0.08	-0.58	-0.23	-0.43	1.36	-0.79	-0.17	-0.79	-0.51	0.94	-0.51	1.49	1.59	1.51	0.28	0.84	0.99	0.78	0.26	-0.18	-0.6	-0.34	0.41	0.36
ACE2	0.77	0.17	0.02	0.15	-0.19	NA	-0.2	NA	0.58	1.33	0.19	0.27	0.14	-0.36	0	1.21	-0.94	0.42	-1	0.27	-0.15	-0.83	-0.39	-0.88	-0.05	0.24	0.01	-0.07	-0.85	-0.11	-1.15	0.35	0.39	-0.25	-1.05	0.31	0.28	-0.36	0.03	-0.34	-0.1	0.31	0.36	-0.34	-0.84	-0.12	-0.36	0.06	-0.27	-0.24	-0.22	0.21	-0.45	-0.1	-0.14	0.11	-0.47	-0.56	-0.17	-0.47	-0.62	NA	-0.27	-0.32	-0.54	0.23	-0.26	-0.24	0.4	-0.03	-0.1	0.16	0.12	0.1	-0.25	-0.89	-0.73	0.09	-0.16	-0.34	-0.08	-0.06	0.09	-0.17	0.18	-0.07	-0.18	0.45	-0.28	0.54	-0.27	-0.45	-0.18	-0.48	-0.24	0.25	0.2	0.63	0.49	0.59	-0.22	-0.74	-0.76	-0.79	-0.51	-0.3	-0.04	-0.17	-0.38	-0.43	-0.25	-0.14	-0.75	-0.85	-0.36	-0.5	-0.83	-1	-1.96	-0.48	-0.17	-0.8	-0.52	-0.45	-0.81	-0.62	-0.38	-0.3	-0.3	0.1	0.43	-0.08	-0.08	0.21	-0.58	0.13	0.45	-0.12	-0.02	-0.85	-0.43	0.06	-1.05	-0.16	-0.07	0.18	-1.12	-0.4	-0.32	-0.17	-0.32	-0.07	-0.37	0.25	0.1	-0.08	0.37	-0.04	-0.69	0.22	-0.65	-0.72	-0.68	0.24	0.08	-0.31	-0.41	-0.26	-0.33	-0.94	-0.38	-0.36	-0.07
SWI5	-0.1	-0.79	-0.47	-0.14	-0.56	-0.45	-0.36	0.75	-0.06	0.4	0.12	-0.17	0.3	0.49	-0.3	-0.1	-0.47	0.19	-1	-0.14	-0.3	-0.22	-0.07	0.07	0.28	0.42	0.06	-0.18	-0.38	0.31	0.14	-0.4	0.33	-0.51	-0.42	-1.06	-1.6	-1.22	-0.15	-1.15	-0.94	-0.22	-0.04	-0.34	-0.01	-0.4	-0.3	-0.3	-0.47	-0.45	-0.42	0.3	0.62	-0.32	-0.36	-0.81	NA	-0.97	-0.76	-1.12	-0.67	-0.79	0.45	-0.06	-0.29	-0.67	-0.6	-0.29	0.12	-0.32	-0.4	-0.07	-0.2	-0.15	-0.62	-1.43	-0.29	0.01	-0.42	-0.67	-0.06	0.14	NA	0.38	-0.07	-0.06	-0.42	-0.27	0.06	0.65	0.61	-0.49	0.08	-0.54	-0.29	0.74	0.59	0.89	0.42	0.33	-2	-1.94	-1.89	-2.47	-2.47	-0.25	-0.64	0.44	-0.01	-0.47	0.32	-0.38	-0.01	-0.45	-0.2	-0.15	0.44	-0.29	-1.94	-0.14	-1.47	-1.29	-0.09	-0.03	-0.1	-1	-0.4	-1.4	-1.56	-1.56	-2.47	-2.4	-0.86	-1.94	-0.84	-0.47	0.5	-0.86	-0.97	-0.89	-1.03	-1	-1.51	-0.42	-0.182	-0.091	0.3	0.15	0.25	0.42	0.08	0.23	0.16	-0.22	-0.17	-0.12	-0.06	0.37	0.62	-0.38	NA	0.11	0.1	-0.06	-0.2	0.08	-0.23	0.2	0	-0.01	0.32	-0.07	-0.38
SOK2	-0.33	-1.94	-1.38	-1.13	-1.22	-0.38	-0.63	-0.58	-0.28	0.17	-0.03	0.73	-0.8	-0.6	-0.07	1.51	1.21	0.77	1.19	0.5	-1.45	-1.16	-0.41	-0.5	-0.14	1.22	-0.24	0.27	0.08	1.15	0.08	0.39	1.24	0.66	0.61	0.14	0.25	-0.04	-0.15	-0.12	0.03	0.36	0.56	0.09	0.27	-0.06	0.03	-0.01	-0.18	-0.13	-0.37	-0.43	-0.44	-0.94	0.88	0.65	1.05	0.27	0.45	0.12	0.16	0.29	0.06	0.43	0.4	0.22	-0.58	-0.32	0.29	0.03	-0.25	-0.59	-0.81	-0.4	-0.56	-0.24	-0.19	-0.37	-0.8	-0.36	-0.76	-0.2	-0.15	-0.26	1.79	0.62	0.39	0.55	0.5	0.06	0.31	0.56	-0.01	-0.06	-0.11	0.28	0.06	0.12	0.14	-0.62	-0.5	0.01	-0.03	-0.38	-0.28	0.14	0.19	-0.23	-0.47	-0.6	-0.43	-0.64	-0.13	-0.85	-1.32	-0.58	-0.73	-0.51	-0.27	0.1	1.86	2.31	0.09	0	-0.67	-0.9	-0.75	-0.63	1.15	0.59	1.48	1.25	1.54	1.46	0.19	0.32	0.1	0.06	0.84	0.1	0.58	0.91	-0.09	-0.01	-0.36	-0.52	0.85	-0.53	0.03	0.93	0.18	-0.12	0.57	-0.21	0.13	0.05	0.15	0.49	0.07	-0.26	0.02	0.1	0.32	0.29	0.14	0.04	-0.56	0.04	0.32	0.06	0.38	-0.13	0.44
RME1	-0.3	0.6	1.54	1.31	1.15	0.78	0.1	-0.06	0.08	-0.07	-0.1	-0.38	0.1	0.46	-0.2	-0.89	-1.25	-1.6	-0.51	-1.29	1.74	1.21	1.08	0.84	0.78	0.38	0.4	-0.45	-0.03	0.45	0.6	0.08	0.39	0.44	-0.47	-2.47	NA	-2.56	0.03	NA	NA	NA	NA	NA	NA	NA	-0.74	NA	NA	NA	NA	NA	NA	NA	NA	-0.45	-0.2	-0.47	0	0.19	-0.18	0.11	-0.04	-0.17	-0.25	0.19	0.41	0.78	-0.09	0.33	1.08	1.29	1.48	1.64	0.85	1.34	0.62	0.08	0.53	0.61	0.21	-0.4	-0.03	0.18	0.15	-0.54	-1	-0.84	-0.89	-0.06	1.64	0.84	0.64	1.08	0.82	1.12	0.98	0.2	0.16	1.31	1.48	1.71	1.39	1.37	1.42	0.07	0.15	0.26	0.34	0.4	1.46	0.88	-0.1	0.51	1.94	1.33	0.57	0.82	1.04	0.85	-0.29	-0.64	0.53	0.46	0.77	1.64	1.46	2.05	1.99	0.89	0.42	NA	-0.07	0.6	1.3	1.01	0.83	0.94	0.14	0.61	0.56	0.34	0.86	1.15	-0.067	0.453	-0.1	0.06	0.25	-0.17	0.1	-0.27	-0.42	0.03	-0.42	-0.94	0.08	-0.47	0.08	0.06	-1.18	-1	-0.69	-0.17	0.55	-0.43	-0.47	-0.38	-0.42	-0.04	0.28	0.93	0.52
IME1	-0.18	-0.6	-0.37	-0.41	-0.49	-0.69	0.21	0.43	0.29	0.15	0	1.3	0.3	0.1	0.41	-0.62	-0.51	-0.3	-0.49	-0.56	0.5	0.11	0.18	-0.06	-0.49	-0.32	-0.64	-0.97	0.01	-0.27	-0.62	-0.71	-0.69	-0.92	-0.74	0.32	-0.49	-0.22	-0.01	-0.62	-0.54	-0.06	-0.42	-0.29	-0.1	0	0.08	-0.29	-0.42	-0.27	-0.56	-0.18	-0.36	-0.38	-0.58	-0.25	-0.67	-0.62	-0.62	-0.36	-1.15	-0.67	0.21	0.19	-0.15	-0.36	-0.23	-0.07	-0.38	-0.01	-0.29	-0.42	-0.23	-0.58	-0.97	-0.51	-0.25	0.07	0.58	0.16	-0.17	-0.14	-0.04	-0.07	-0.43	-0.86	-0.51	-0.71	-0.49	-0.34	-0.32	-1.12	-0.62	1.28	-0.4	-0.43	-0.58	-0.54	-0.49	-0.18	0.23	1.96	3.07	3.73	3.47	-0.42	-0.56	-0.14	-0.64	-0.69	0.36	-0.38	-0.12	-0.34	0.12	-0.25	0.06	0.12	1.26	1.84	2.72	4.03	0.14	-0.03	-0.4	0.37	0.72	0.74	2.38	1.49	1.13	1.5	0.89	1.12	-0.11	0.33	0.25	0.08	-0.29	-0.63	-0.15	-0.14	-0.41	0.49	-0.31	-0.134	-1.06	0.3	-0.62	-0.22	-0.04	-0.12	-0.27	0.46	0.14	-0.45	-0.81	-0.04	-0.47	-0.15	-1.36	-1.15	-0.89	-0.54	-0.09	-1.36	-1.06	-0.56	-0.36	-0.07	0.21	0.48	0.44
GPA2	1.28	0.94	1.5	1.6	1.28	0.9	0.9	0.93	-1.03	-0.54	-0.76	0.59	0.42	0.31	-0.14	-0.42	-0.1	-0.34	0.61	-0.4	0.65	1.43	1.78	0.99	0.93	0.77	0.11	-0.15	-0.15	0.89	0.28	0	0.33	-0.06	-0.27	0.69	1.2	1.25	0.38	0.24	0.07	-0.04	-0.29	-0.14	-0.54	-0.3	0.08	-0.29	0.03	-0.3	-0.3	0.11	-0.62	-0.34	-0.18	-0.07	0.88	0.21	0.46	0.75	0.86	0.19	-0.12	-0.1	0.24	-0.23	0.26	0.9	-0.36	0.58	0.87	1.27	1.06	1.03	0.7	1.25	0.46	0.58	1.23	0.6	0.18	-0.1	0.36	0.16	0.03	-0.74	-0.76	-1.22	-0.29	-0.34	1.3	0.33	0.52	1.06	0.64	0.69	0.7	0.42	0.29	1.76	2.17	2.32	2.3	2.6	2.28	-0.67	-0.01	0.61	0.03	-0.38	1.37	0.64	0.77	0.93	3.39	2.63	1.78	2.97	2.62	2.42	2.83	2.27	-0.01	-1.6	0.21	1.76	1.48	1.7	1.05	1.31	2.69	1.46	2.52	2.8	0.37	0.63	0.12	0.67	-0.15	0.12	0.72	0.28	0.65	0.43	0.184	0.514	1.16	1.03	0.26	-0.3	0.67	-0.43	-0.43	1.53	-0.32	0.58	-0.45	-0.62	-0.03	-0.43	-0.01	-0.23	-0.17	-0.14	-0.17	0.49	-0.22	-0.45	0.1	0.08	0.26	0.18	0.3
